company_name,jse_code,careers_url,careers_status,relevance_note,active,scraping_status,country,source_type
4Sight Holdings,4SI,https://4sight.cloud/careers/,green_verified,direct link lists all vacancies,true,pending,South Africa,JSE
Absa Group,ABG,https://absa.wd3.myworkdayjobs.com/ABSAcareersite,green_confirmed,direct Workday vacancy list,true,pending,South Africa,JSE
Accelerate Property Fund,APF,,grey_none_verified,,false,no_url,South Africa,JSE
Acsion,ACS,,grey_none_verified,,false,no_url,South Africa,JSE
Adcorp Holdings,ADR,https://adcorpgroup.wd3.myworkdayjobs.com/Adcorp-Careers-South-Africa,green_verified,direct Workday vacancy list,true,pending,South Africa,JSE
ADvTECH,ADH,https://advtech.ci.hr/applicant/index.php?controller=Page&name=jobsearch,green_verified,direct ci.hr job search,true,pending,South Africa,JSE
AECI,AFE,https://jobs.aeciworld.com/search/?createNewAlert=false&q=&optionsFacetsDD_location=&optionsFacetsDD_customfield1=&optionsFacetsDD_department=,green_confirmed,direct vacancy search list,true,pending,South Africa,JSE
Afine Investments,ANI,https://www.afineinvestments.com/,amber_company_route,,true,pending,South Africa,JSE
Africa Bitcoin Corporation,BAC,https://africabitcoincorporation.com/,amber_company_route,,true,pending,South Africa,JSE
African & Overseas Enterprises,AON / AOO,,grey_none_verified,,false,no_url,South Africa,JSE
African Dawn Capital,ADW,,grey_none_verified,,false,no_url,South Africa,JSE
African Media Entertainment,AME,,grey_none_verified,,false,no_url,South Africa,JSE
African Rainbow Minerals,ARI,https://www.arm-online.co.za/careers,green_verified,,true,pending,South Africa,JSE
Afrimat,AFT,https://www.afrimat.co.za/about-us/careers/,green_verified,direct careers page,true,pending,South Africa,JSE
AfroCentric Investment Corporation,ACT,,grey_none_verified,,false,no_url,South Africa,JSE
AH-Vest,AHL,,grey_none_verified,,false,no_url,South Africa,JSE
Alaris Holdings,ALH,,grey_none_verified,,false,no_url,South Africa,JSE
Alexander Forbes,AFH,https://peoplefocus.alexanderforbes.com/Careers/Vacancy/HRF_VACANCY_SEARCH_CAREERS_BLOCK.aspx,green_verified,fixed was login page now vacancy search,true,pending,South Africa,JSE
Alphamin Resources,APH,https://www.alphaminresources.com/,amber_company_route,,true,pending,South Africa,JSE
Altron,AEL,https://altron.wd3.myworkdayjobs.com/Altron_Careers,green_verified,direct Workday list,true,pending,South Africa,JSE
Anglo American,AGL,https://www.angloamerican.com/careers/job-opportunities/apply,green_verified,direct job-opportunities list,true,pending,South Africa,JSE
AngloGold Ashanti,ANG,https://careers.anglogoldashanti.com/search/,green_verified,direct SuccessFactors list 86 jobs,true,pending,South Africa,JSE
Anheuser-Busch InBev,ANH,https://www.ab-inbev.com/working-with-us,green_verified,fixed was 404 now working careers page,true,pending,South Africa,JSE
Araxi,AXX,,grey_none_verified,,false,no_url,South Africa,JSE
ArcelorMittal South Africa,ACL,,amber_company_route,,false,no_url,South Africa,JSE
Argent Industrial,ART,,grey_none_verified,,false,no_url,South Africa,JSE
Aspen Pharmacare,APN,https://www.aspenpharma.com/careers/,green_verified,,true,pending,South Africa,JSE
Astral Foods,ARL,https://astral.ci.hr/index.php?controller=Page&name=jobsearch,green_verified,direct ci.hr job search,true,pending,South Africa,JSE
Attacq,ATT,https://vacancies.attacq.co.za/,green_verified,fixed was email now direct vacancy portal,true,pending,South Africa,JSE
Aveng,AEG,https://aveng.erecruit.co/candidateapp/Jobs/Browse.aspx,green_verified,direct eRecruit browse,true,pending,South Africa,JSE
AVI,AVI,https://avi.simplify.hr/,green_verified,direct recruitment portal,true,pending,South Africa,JSE
Balwin Properties,BWN,,amber_company_route,,false,no_url,South Africa,JSE
Bell Equipment,BEL,https://www.bellequipment.com/bell-equipment/careers/,green_verified,,true,pending,South Africa,JSE
BHP,BHG,https://careers.bhp.com/viewalljobs/,green_verified,direct view-all-jobs list,true,pending,South Africa,JSE
Bidcorp,BID,,amber_company_route,,false,no_url,South Africa,JSE
Bidvest,BVT,https://www.bidvest.com/careers/,green_verified,,true,pending,South Africa,JSE
Blue Label Telecoms,BLU,https://bltsjobs.mcidirecthire.com/Vacancy,green_verified,direct vacancy list,true,pending,South Africa,JSE
Bowler Metcalf,BCF,,grey_none_verified,,false,no_url,South Africa,JSE
Boxer Retail,BOX,https://boxer.erecruit.co/candidateapp/jobs/browse/?Source=Boxer%20Website,green_verified,fixed was 404 now direct eRecruit browse,true,pending,South Africa,JSE
Brait,BAT,,amber_company_route,,false,no_url,South Africa,JSE
Brikor,BIK,,grey_none_verified,,false,no_url,South Africa,JSE
Brimstone Investment Corporation,BRN,https://www.brimstone.com/careers,green_verified,,true,pending,South Africa,JSE
Brimstone Investments,BRT,,green_verified,,false,no_url,South Africa,JSE
British American Tobacco,BTI,https://careers.bat.com/en/search-jobs,green_verified,direct search list 278 jobs,true,pending,South Africa,JSE
Burstone Group,BTN,,amber_company_route,,false,no_url,South Africa,JSE
Bytes Technology Group,BYI,https://www.bytes.co.uk/careers,green_verified,,true,pending,South Africa,JSE
CA Sales Holdings,CAA,,grey_none_verified,,false,no_url,South Africa,JSE
Calgro M3 Holdings,CGR,,amber_company_route,,false,no_url,South Africa,JSE
CANAL+,CNP,https://www.canalplusgroup.com/en/join-us,green_verified,,true,pending,South Africa,JSE
Capital Appreciation,CTA,,grey_none_verified,,false,no_url,South Africa,JSE
Capital & Counties Property,CCO,,amber_company_route,,false,no_url,South Africa,JSE
Capitec Bank,CPI,https://careers.capitecbank.co.za/viewalljobs/,green_verified,direct SuccessFactors list,true,pending,South Africa,JSE
Cashbuild,CSB,https://www.careers-page.com/cashbuild-careers,green_verified,direct list 200+ positions,true,pending,South Africa,JSE
Castleview Property Fund,CVW,,grey_none_verified,,false,no_url,South Africa,JSE
Caxton & CTP Publishers and Printers,CAT,,amber_company_route,,false,no_url,South Africa,JSE
Cell C,CCD,https://cellc.com/working-at-cell-c,green_verified,,true,pending,South Africa,JSE
Channel VAS Investments,OPA,,grey_none_verified,,false,no_url,South Africa,JSE
Choppies Enterprises,CHP,,amber_company_route,,false,no_url,South Africa,JSE
Cilo Cybin Holdings,CCC,https://www.cilocybin.com/jobs,green_verified,,true,pending,South Africa,JSE
City Lodge Hotels,CLH,https://careers.clhg.com/vacancy-posting.aspx,green_verified,fixed was 404 now direct vacancy list,true,pending,South Africa,JSE
Clicks Group,CLS,https://careers.clicksgroup.co.za/applicant/index.php,green_verified,fixed was 404 now direct eRecruit list,true,pending,South Africa,JSE
Collins Property Group,CPP,,grey_none_verified,,false,no_url,South Africa,JSE
Combined Motor Holdings,CMH,,amber_company_route,,false,no_url,South Africa,JSE
Compagnie Financière Richemont,CFR,https://careers.richemont.com/en/jobs/,green_verified,direct jobs list 1350 roles,true,pending,South Africa,JSE
Copper 360,CPR,,amber_company_route,,false,no_url,South Africa,JSE
Coronation Fund Managers,CML,https://coronation.erecruit.co/,green_verified,direct eRecruit portal,true,pending,South Africa,JSE
Crookes Brothers,CKS,,amber_company_route,,false,no_url,South Africa,JSE
